URL de la canción,Título de la canción,Título del álbum,Nombres del artista
https://music.youtube.com/watch?v=X9AyBnkPUcM,"A Fine Romance (From ""Follow the Fleet"")",,
https://music.youtube.com/watch?v=UQoZjjAAkQs,A Fistful of Dollars Suite,,
https://music.youtube.com/watch?v=W2OA5CTTVgc,"A Fistful of Dynamite (From ""A Fistful of Dynamite / Giù la testa"")",,
https://music.youtube.com/watch?v=29CJn2rg_f0,A Foggy Day,,
https://music.youtube.com/watch?v=pDgWs5Q_QzA,A Foggy Day,,
https://music.youtube.com/watch?v=xS9Ov5tGNgw,A Journey to Russia,,
https://music.youtube.com/watch?v=OCnReioFs8k,A La Antigua (Remastered),,
https://music.youtube.com/watch?v=79iHfmLB_-M,A la Loma de Belen,,
https://music.youtube.com/watch?v=bJ3rwru0S8Q,A La Sala,,
https://music.youtube.com/watch?v=RCkch6yXxmw,A Little Bit Later On,,
https://music.youtube.com/watch?v=xw9zdT4S4sc,A Little Bit Later On,,
https://music.youtube.com/watch?v=4hv1nRXK02w,A Little Max (Parfait) (Remastered),,
https://music.youtube.com/watch?v=vYQMYs2AOBc,A Little Max (Parfait) (Alternate Take),,
https://music.youtube.com/watch?v=KfvhpPt2Xq0,Mendelssohn - A Midsummer Night's Dream: A Midsummer Night's Dream: Scherzo,,
https://music.youtube.com/watch?v=KnIPXneHTi8,A Mirage,,
https://music.youtube.com/watch?v=1pXL-HFunkw,A Mirage '94,,
https://music.youtube.com/watch?v=en-PWwRrrQw,A Night In Venice,,
https://music.youtube.com/watch?v=GvIwkVEuz3g,A Pure Evil,,
https://music.youtube.com/watch?v=dbrKt4Duk0U,A Quien Corresponda,,
https://music.youtube.com/watch?v=byxw8BtC6x0,"A Shine on Your Shoes (From ""The Band Wagon"")",,
https://music.youtube.com/watch?v=1wO_dCDehbQ,A String of Pearls,,
https://music.youtube.com/watch?v=Y1N4mSJ9zVE,A Usted,,
https://music.youtube.com/watch?v=NGwUqZuPs5k,"A-Tisket, A-Tasket",,
https://music.youtube.com/watch?v=gg12E1aac8s,"A-Tisket, A-Tasket",,
https://music.youtube.com/watch?v=E_9FMnhN9yo,ABC,,
https://music.youtube.com/watch?v=8lLqrk3MxAs,Abrir Y Cerrar,,
https://music.youtube.com/watch?v=IWZWKEP5jOw,Acabaremos mal,,
https://music.youtube.com/watch?v=-oyLhlyJ8HA,Acuérdate de Mí,,
https://music.youtube.com/watch?v=8bswKQI9iXM,"The Sleeping Beauty, Op. 66: Adagio - 'Pas d'action'",,
https://music.youtube.com/watch?v=0YWtIcHJEc4,Paganini: Centone di sonate M.S.112 per violino e chitarra - Lettera A: / Sonata n.2 - In D...,,
https://music.youtube.com/watch?v=fb0UXmfZ17U,Paganini: Centone di sonate M.S.112 per violino e chitarra - Lettera A: / Sonata n.4 - In A...,,
https://music.youtube.com/watch?v=chrL2t1MEIk,"Paganini: Sonata Concertata In A Major For Guitar & Violin, Op.61, M.S. 2 - Adagio, assai...",,
https://music.youtube.com/watch?v=DR9fxubrC98,"Adelaide, S. 466/R. 121",,
https://music.youtube.com/watch?v=nhHF5Xd5Irs,Adiós Felicidad,,
https://music.youtube.com/watch?v=tuSiKJBH67w,Adios Muchachos,,
https://music.youtube.com/watch?v=Komw-Yt5whc,África,,
https://music.youtube.com/watch?v=DS6hw8k0oFM,Africana,,
https://music.youtube.com/watch?v=3TCyLIiqd2g,Afrodisco Beat,,
https://music.youtube.com/watch?v=2ZT626zZNc8,Ain't It Romantic?,,
https://music.youtube.com/watch?v=8k_FQ2DI_M4,"Al Messico che vorrei (From ""Tepepa"")",,
https://music.youtube.com/watch?v=j4dYKvIcbwE,Al Mundo Le Falta un Tornillo,,
https://music.youtube.com/watch?v=CHFpD0Ro8bs,Al-Kasbah,,
https://music.youtube.com/watch?v=Vkq5mOIUfSQ,All I Can Say,,
https://music.youtube.com/watch?v=kGoYJTmbTTg,All I Can Say,,
https://music.youtube.com/watch?v=1nfnkx6FYJ8,All Night Thing,,
https://music.youtube.com/watch?v=RpmRy-KjxLE,All The Things You Are,,
https://music.youtube.com/watch?v=wSYefuu2G1k,Paganini: Sei sonate M.S. 27 (op.3) per violino e chitarra / Sonata n.4 - In A Minor - Allegretto,,
https://music.youtube.com/watch?v=1ju4fTCA0u4,Paganini: Allegro vivace a movimento perpetuo M.S.72 (op.11) In C Major - per violino e...,,
https://music.youtube.com/watch?v=CfV4ITSR0G8,Paganini: Sei sonate M.S. 27 (op.3) per violino e chitarra / Sonata n.6 - In E Minor - Allegro...,,
https://music.youtube.com/watch?v=GL4exhfaun8,Alligator Wine,,
https://music.youtube.com/watch?v=-fOCHu9WQ00,Alma Mia,,
https://music.youtube.com/watch?v=MDvWcORyp58,Alone,,
https://music.youtube.com/watch?v=oXsFATj_ShY,Alone,,
https://music.youtube.com/watch?v=XEmyklPmlfE,Alone of All Her Sex,,
https://music.youtube.com/watch?v=TJhZCs3-8bA,Always Another Girl,,
https://music.youtube.com/watch?v=0hfjb-iYFm0,Ambulatory Suite,,
https://music.youtube.com/watch?v=hrgg-_hvneM,And On,,
https://music.youtube.com/watch?v=aWuiakFP6yg,Andalucía (Remastered),,
https://music.youtube.com/watch?v=GWQNXq_Gbxo,Paganini: Sei sonate M.S. 27 (op.3) per violino e chitarra / Sonata n.6 - In E Minor - Andante,,
https://music.youtube.com/watch?v=1MEU206pS9w,Paganini: Sei sonate M.S. 27 (op.3) per violino e chitarra / Sonata n.4 - In A Minor - Andante...,,
https://music.youtube.com/watch?v=M7Tjpvr_czY,Angelic,,
https://music.youtube.com/watch?v=6tAyMO-ZWzE,Animal Caliente,,
https://music.youtube.com/watch?v=KlIvYnAJy6g,Ante El Escorial (Remastered),,
https://music.youtube.com/watch?v=TsiU67jzYiw,Anyone,,
https://music.youtube.com/watch?v=_PpG7azMI5s,Apoyate en Mi Alma,,
https://music.youtube.com/watch?v=97DJTxSdAss,"Aquarellen, Walzer, Op. 258",,
https://music.youtube.com/watch?v=AKkHagHlqD4,Aquarius,,
https://music.youtube.com/watch?v=uyGwu9m0NrM,Aquellas Pequeñas Cosas,,
https://music.youtube.com/watch?v=xw-GuY8V0_A,Aquellos Ojos Verdes,,
https://music.youtube.com/watch?v=7WqOLX-hB0s,Aqui Se Tortura,,
https://music.youtube.com/watch?v=R1uTWLbBMow,Aragón (Remastered),,
https://music.youtube.com/watch?v=jcB4F3-fjYo,Are You Ready,,
https://music.youtube.com/watch?v=rglNMIuGYMI,Aren't You Kind Of Glad We Did?,,
https://music.youtube.com/watch?v=2bnTuXD6uiw,Arriva cuchillo,,
https://music.youtube.com/watch?v=VgUc27xzf9M,Arroyito de mi casa,,
https://music.youtube.com/watch?v=8lMhhqJd6Qk,Ascunsion,,
https://music.youtube.com/watch?v=PGugRv9G9pQ,Atomic,,
https://music.youtube.com/watch?v=V6ec5OGlA5U,"Aufforderung zum Tanz, Rondo brillant, Op. 65",,
https://music.youtube.com/watch?v=QzDIKbLVKlU,"Aus Sympathie, Op. 142 (Version for Orchestra)",,
https://music.youtube.com/watch?v=RRzml0tGZdI,"Vremena goda, Op. 67: Autumn: Adagio",,
https://music.youtube.com/watch?v=kYhOIhUn8Y0,"Vremena goda, Op. 67: Autumn: Bacchanale and Appearance of the Seasons",,
https://music.youtube.com/watch?v=tKHIgUNcsK8,"Vremena goda, Op. 67: Autumn: Scent and Apotheosis",,
https://music.youtube.com/watch?v=xuSiDYDu58Y,Ave Maria Guarani,,
https://music.youtube.com/watch?v=75KLv9MnALk,Awaken the Dreamers,,
https://music.youtube.com/watch?v=7BuxsqrnByU,Ay Jalisco No Te Rajes,,
https://music.youtube.com/watch?v=ohB4gUbg4yM,"Ay, Amor (Remastered)",,
https://music.youtube.com/watch?v=ev_Tsh2QkOk,Ay! Amor,,
https://music.youtube.com/watch?v=YYcBhs50rDA,Ay! mamá Inés,,
https://music.youtube.com/watch?v=O3Xg49lWtoI,"Ay! venga paloma, venga",,
https://music.youtube.com/watch?v=8_h65oL3orQ,Babalú,,
https://music.youtube.com/watch?v=89EHBU7r0eg,"Baby Doll (From ""The Belle of New York"")",,
https://music.youtube.com/watch?v=C7XGTWQ62no,Baby I Need Your Lovin',,
https://music.youtube.com/watch?v=9idXAY_wquo,Baby Please Don't Go,,
https://music.youtube.com/watch?v=SAMagjy1ZE8,Bacalao,,
https://music.youtube.com/watch?v=H90JhWuCJGs,Back To Funky,,
https://music.youtube.com/watch?v=TH0wBoSXwfY,Back To Nature,,
https://music.youtube.com/watch?v=gNQqKhGvOcs,Backward Country Boy Blues (Remastered),,
https://music.youtube.com/watch?v=8Xrbd5nDyx0,Bajo Control,,
https://music.youtube.com/watch?v=lUWl1kI9LsU,박수소리 (Baksusori),,
https://music.youtube.com/watch?v=oVZUI6SAAdI,Balada para un Loco,,
https://music.youtube.com/watch?v=I6VGf0m_jDs,Bamadub Ska,,
https://music.youtube.com/watch?v=WtRz4H0y-ks,Bamako Ska,,
https://music.youtube.com/watch?v=P1GjDE5iD4I,Bana Ashiko,,
https://music.youtube.com/watch?v=7Q7Qm6kahWg,Banana,,
https://music.youtube.com/watch?v=NVmY49DXE-0,Banderas Negras,,
https://music.youtube.com/watch?v=cC_ER4JuvDY,Banderas Negras II,,
https://music.youtube.com/watch?v=4opMOOt-J6o,Barbary Coast,,
https://music.youtube.com/watch?v=9cVWAuF0iNc,Barquito de Papel,,
https://music.youtube.com/watch?v=yFs_mKVpcRk,Bashraf Farahfaza,,
https://music.youtube.com/watch?v=rzAF9rTeUAM,"Be Careful, It´s My Heart (Remastered)",,
https://music.youtube.com/watch?v=GUU7t2-b77k,Be My Lover Now (12'' Remix/2003 Digital Remaster),,
https://music.youtube.com/watch?v=nR6YQlgbQ9k,Be My Lover Now (2003 Digital Remaster),,
https://music.youtube.com/watch?v=_x7xt5RKt9U,Be My Lover Now (Instrumental/2003 Digital Remaster),,
https://music.youtube.com/watch?v=KDfnIQQdzY4,Bebe,,
https://music.youtube.com/watch?v=DLEzcJREmhE,Bei Mir Bist Du Schoen,,
https://music.youtube.com/watch?v=x5L6FPNcnDU,Bei Mir Bist Du Schoen (Means That You're Grand),,
https://music.youtube.com/watch?v=_znPZ7BeEFs,Beleza Pula,,
https://music.youtube.com/watch?v=Gb3UPFUaBkQ,"Beliebte Annen Polka, Op. 137",,
https://music.youtube.com/watch?v=V5zFpctrgjs,Bennie And The Jets (Remastered 2014),,
https://music.youtube.com/watch?v=3lT_8KFYDcE,Bésame Mucho,,
https://music.youtube.com/watch?v=eaqG5yP8VoQ,Bidin' My Time,,
https://music.youtube.com/watch?v=mFEaRqkIWQI,Bidin' My Time,,
https://music.youtube.com/watch?v=wTYZKIUUqAU,Bidin' My Time #1,,
https://music.youtube.com/watch?v=C7ceXwRnIDA,Bidin' My Time #2,,
https://music.youtube.com/watch?v=z4FGnllZxr8,Bidin' My Time #3,,
https://music.youtube.com/watch?v=9tqQg-RB4Yg,Big Funk (remastered),,
https://music.youtube.com/watch?v=PHhyzp2pF-g,큰일 (Big Things),,
https://music.youtube.com/watch?v=hFINm3HTu20,Bint Al-Balad,,
https://music.youtube.com/watch?v=FYErvZ441oY,Black Gold Reign,,
https://music.youtube.com/watch?v=8Oo_Lz0fZTc,Black Roses,,
https://music.youtube.com/watch?v=SaXi0e2rx4c,Blowin' in the Wind,,
https://music.youtube.com/watch?v=mBysZthr-Mo,BLUE CURACAO,,
https://music.youtube.com/watch?v=5AK6M9MpiqA,Blue Lou,,
https://music.youtube.com/watch?v=6h03OKL4kaQ,Blue Minor,,
https://music.youtube.com/watch?v=fb9R_cvwKSU,Bluebird (B-Side),,
https://music.youtube.com/watch?v=zhOGv7aMzj4,Bluesette,,
https://music.youtube.com/watch?v=gKYopjAyhTs,"Bojangles of Harlem (From ""Swing Time"")",,
https://music.youtube.com/watch?v=kTFLAiCnlag,Boo Boo's Birthday (Take 11),,
https://music.youtube.com/watch?v=UIv9qJfN7t4,Boo Boo's Birthday (Take 2),,
https://music.youtube.com/watch?v=JZ9zpf47p9o,,,
https://music.youtube.com/watch?v=w6T_X7MXg40,Born Under Punches (The Heat Goes On) (2005 Remaster),,
https://music.youtube.com/watch?v=rKLCxQFBbpo,Botellero,,
https://music.youtube.com/watch?v=l7WzYSIMyGQ,Boy Wanted,,
https://music.youtube.com/watch?v=D1UvKmMcdPg,Boy What Love Has Done To Me,,
https://music.youtube.com/watch?v=l2gM8_-8xWU,Boy! What Love Has Done to Me!,,
https://music.youtube.com/watch?v=GUsRayHfmm0,Boys Do Fall In Love,,
https://music.youtube.com/watch?v=y-UIknVuZug,"Brahms: Variations and Fugue on a Theme by Handel, Op. 24 - Orchestrated by Edmund Rubbra",,
https://music.youtube.com/watch?v=2FjCMYcNq5w,Brand New Love (Take A Chance),,
https://music.youtube.com/watch?v=k0ynTKJZirg,Brasilian Skies,,
https://music.youtube.com/watch?v=VDwzGt3b3BM,Bride and Groom,,
https://music.youtube.com/watch?v=0BhVUY98x5w,"Brieftaube, Schnellpolka, Op. 19",,
https://music.youtube.com/watch?v=MBEZ3uiSlAc,Brighter Than the Sun,,
https://music.youtube.com/watch?v=ph3ZQ8JAZYk,Brighter Than the Sun,,
https://music.youtube.com/watch?v=U1_otd4Fnnk,Bronco Busters,,
https://music.youtube.com/watch?v=731ydhc3vG8,Brothers,,
https://music.youtube.com/watch?v=ly2eHqy20p8,Bruca Maniguá,,
https://music.youtube.com/watch?v=GsWV0kh2BFE,"Bruder halt!, Galopp, Op. 16",,
https://music.youtube.com/watch?v=J7VkOhUPn-8,Bubbling Telephone,,
https://music.youtube.com/watch?v=w1xBwWm46ug,Bull-Doze Blues,,
https://music.youtube.com/watch?v=b7pGr-48mIM,"Buona Fortuna Jack (From ""Il Mio Nome è Nessuno"")",,
https://music.youtube.com/watch?v=s25z5N8un3Y,Burned In Heaven,,
https://music.youtube.com/watch?v=oTvgNPJKXbg,Bururu Barara,,
https://music.youtube.com/watch?v=h6zTFyEF1KM,But Not for Me,,
https://music.youtube.com/watch?v=FxaHOreVMzk,But Not For Me,,
https://music.youtube.com/watch?v=f1tjrdcRHU8,But Not For Me,,
https://music.youtube.com/watch?v=eVf1oss464U,But Not For Me (45 RPM Take),,
https://music.youtube.com/watch?v=CysLKgD8mi8,But Not for Me (Comic Reprise),,
https://music.youtube.com/watch?v=kJrrVart2qc,But Not For Me (Mono Mix),,
https://music.youtube.com/watch?v=HDIwWI_35V4,"By Myself (From ""The Band Wagon"")",,
https://music.youtube.com/watch?v=t4CK7ZzEbRY,By Strauss,,
https://music.youtube.com/watch?v=gWbXV3L61_E,By the Fireside,,
https://music.youtube.com/watch?v=H-QMTVfEHGw,지나온 날 (Bygone Days),,
https://music.youtube.com/watch?v=J9IjZeAqZew,Caballero de Olmedo (Remastered),,
https://music.youtube.com/watch?v=UMhfulZu8r8,Caballo Viejo,,
https://music.youtube.com/watch?v=Qs99iD_32lg,Cactus Time in Arizona,,
https://music.youtube.com/watch?v=_ZcV65mYLpM,Calabash,,
https://music.youtube.com/watch?v=PotaDJPakGo,California Here I Come,,
https://music.youtube.com/watch?v=5vHpKrsRl7U,Caminos Cruzados,,
https://music.youtube.com/watch?v=oGvXgOg7rmA,Camionero (Caminhoneiro) (Gentle On My Mind),,
https://music.youtube.com/watch?v=IGIfEc6uL1o,Camisa Molhada,,
https://music.youtube.com/watch?v=jknh8NDQ3q8,Can You Keep a Secret,,
https://music.youtube.com/watch?v=_9YJ9sb1-Rk,Can't Turn Your Back On Me,,
https://music.youtube.com/watch?v=bvfdR75KlLU,Canción de la barca,,
https://music.youtube.com/watch?v=p-1QNI6goVk,Cancion Ultima,,
https://music.youtube.com/watch?v=PiRdYoT6vdo,Paganini: Cantabile M.S.109 - In D Major - per violino e chitarra (pianoforte),,
https://music.youtube.com/watch?v=otFVFLtRF_s,Cantaloupe Island (Remastered 1999/Rudy Van Gelder Edition),,
https://music.youtube.com/watch?v=4c0_RBAGgko,"Canto a mia tierra (From ""The Mercenary"")",,
https://music.youtube.com/watch?v=dtW-pE6Sd9g,Canto del Guajiro (Remastered),,
https://music.youtube.com/watch?v=ckTHBFMjgvg,"Capriccio Italien, Op. 45",,
https://music.youtube.com/watch?v=ea2XXiChIRg,"Capriccio-valse for Violin and Piano in E Major, Op. 7",,
https://music.youtube.com/watch?v=TPnB56fQJNQ,Caravan (Remastered),,
https://music.youtube.com/watch?v=-ExvyngB3NU,Carlota ta' morí,,
https://music.youtube.com/watch?v=R-FsA-NRYnw,Carlotta,,
https://music.youtube.com/watch?v=CpBRXraggIE,Carne Cruda,,
https://music.youtube.com/watch?v=ngIuhTMjc9A,Caro Raul,,
https://music.youtube.com/watch?v=SFCB1TiX62w,"Castelli Romani: No. 1, Villa Hadriana",,
https://music.youtube.com/watch?v=DoxJx7waMGk,"Castelli Romani: No. 2, Tusculum",,
https://music.youtube.com/watch?v=kmmmuWBOvGo,"Castelli Romani: No. 3, Frascati",,
https://music.youtube.com/watch?v=6O8Y6MVQh30,Centro De Gravedad (Spanish Version / Remastered),,
https://music.youtube.com/watch?v=sfoC7XVBtdE,Chain Of Love,,
https://music.youtube.com/watch?v=Sg93MgbrUt8,Chances Are,,
https://music.youtube.com/watch?v=TJOXYiZ4eqg,Chances Dub,,
https://music.youtube.com/watch?v=2Sudbc9C400,Change Partners,,
https://music.youtube.com/watch?v=fmg3wh-DACk,Charlie in the Party,,
https://music.youtube.com/watch?v=Nom1vSDZVHM,"Chase - Inseguimento (From ""The Good, the Bad and the Ugly"")",,
https://music.youtube.com/watch?v=QGZ6jigic_I,Chattanooga Choo-Choo (Remastered),,
https://music.youtube.com/watch?v=8Ur3YLhceAE,Cheek To Cheek,,
https://music.youtube.com/watch?v=AjCAVtxwdqo,"Cheek to Cheek (From ""Top Hat"")",,
https://music.youtube.com/watch?v=wuAtUnwwLro,Cheerful Little Earful,,
https://music.youtube.com/watch?v=AwBa_ZP3tX4,Chivo que rompe tambó',,
https://music.youtube.com/watch?v=vHbxfhi0sOc,Chop Chop Rock,,
https://music.youtube.com/watch?v=HmSNufuZuo8,"Chopin: Berceuse in D-Flat Major, Op. 57",,
https://music.youtube.com/watch?v=O8be1QEdGUs,"Chopin: Les Sylphides - 4. Mazurka in D major, Op. 33, No. 2",,
https://music.youtube.com/watch?v=5TyZVEPTnLg,Choro Chorado Pra Paulinho Nogueira,,
https://music.youtube.com/watch?v=z865fk3j_kg,Cienfuegos Tiene Su Guaguancó,,
https://music.youtube.com/watch?v=itRuC-9fQBg,Circling Air,,
https://music.youtube.com/watch?v=ic0uh7zAUgs,Clap Hands! Here Comes Charley!,,
https://music.youtube.com/watch?v=-uxlSc5-Vhw,Clap Yo' Hands,,
https://music.youtube.com/watch?v=y9njLewQ_lQ,Clap Yo' Hands,,
https://music.youtube.com/watch?v=q5-8cWOqQzk,Clap Yo' Hands (Mono Mix),,
https://music.youtube.com/watch?v=sDHbt5DQ2Vw,Climb,,
https://music.youtube.com/watch?v=KnpujI5NjyU,CLOSE YOUR EYES,,
https://music.youtube.com/watch?v=pnyeLFEK4jw,Cocky Did Hurt Me,,
https://music.youtube.com/watch?v=MuLSeY14Cek,Code,,
https://music.youtube.com/watch?v=VTSmgSi_qJI,"Columbus-Marsch, Op. 332 (Version for Orchestra)",,
https://music.youtube.com/watch?v=tqv51EpA6w8,Come On Home,,
https://music.youtube.com/watch?v=50iS7_3c_tE,Come-Look-at-the-War Choral Society,,
https://music.youtube.com/watch?v=89fav18_ozQ,Como Arrullo De Palma (Remastered),,
https://music.youtube.com/watch?v=isFUuE0M0vE,Como Fue,,
https://music.youtube.com/watch?v=AKOxkdaGUTU,Concierto De Aranjuez: 1. Allegro Con Spirito,,
https://music.youtube.com/watch?v=HqIL0ddTNTQ,Concierto De Aranjuez: 2. Adagio,,
https://music.youtube.com/watch?v=WkNybHAEigM,Concierto De Aranjuez: 3. Allegro Gentile,,
https://music.youtube.com/watch?v=ji1Tz6TEikM,Consider Me,,
https://music.youtube.com/watch?v=Rm5GEfgeroo,Consider Me Dub Vocal,,
https://music.youtube.com/watch?v=hXtZmqzsoyw,Consider Me Dub Vocal Alt,,
https://music.youtube.com/watch?v=Rnbho_DskLI,Contracorriente,,
https://music.youtube.com/watch?v=quXWTts4V30,Cookin' at the Continental,,
https://music.youtube.com/watch?v=KPEeQw74pbE,Cool the Violence,,
https://music.youtube.com/watch?v=S8ixoieSdTM,Coro dei mormoni,,
https://music.youtube.com/watch?v=leboxe3YWlI,Corri uomo corri,,
https://music.youtube.com/watch?v=2cR1bWtRej0,Could You Use Me?,,
https://music.youtube.com/watch?v=XM6DWHzXVnM,Could You Use Me?,,
https://music.youtube.com/watch?v=t_ujxOP8H0o,Cranky Spanky,,
https://music.youtube.com/watch?v=y6S1LsZ00vY,Crisantemo (Remastered),,
https://music.youtube.com/watch?v=z92avHmgDRA,Crosseyed and Painless (2005 Remaster),,
https://music.youtube.com/watch?v=_TSc--yVY8w,Cry Blood,,
https://music.youtube.com/watch?v=2zGc7EP9O0I,Cryin' Mood,,
https://music.youtube.com/watch?v=5elMmh0Tr_o,Crystal Memories,,
https://music.youtube.com/watch?v=dqBa9fksVWk,Cuando los años pasan,,
https://music.youtube.com/watch?v=H6d6MdXwKgY,Cuba,,
https://music.youtube.com/watch?v=60EOjHEzQpE,"Cuentos de España: No. 3, Miramar, Valencia",,
https://music.youtube.com/watch?v=46UGsFXMank,Cuerpo Y Alma,,
https://music.youtube.com/watch?v=nRpaXM1QpIU,Cuidado Con El Perro,,
https://music.youtube.com/watch?v=PF9X8_wlWlc,Cultural DJ Business,,
https://music.youtube.com/watch?v=Z5vOk27Ifag,Cuss Cuss,,
https://music.youtube.com/watch?v=YeRiD1R0THM,"6 Romances, Op. 38: Daisies",,
https://music.youtube.com/watch?v=dDlGNXzmVmI,Dallas Texas,,
https://music.youtube.com/watch?v=D0ilH7GiDqk,Dame la Mano,,
https://music.youtube.com/watch?v=Qg7cAhgGZp4,Damisela Encantadora (Remastered),,
https://music.youtube.com/watch?v=QUDgNhOmM1A,Aleko (arr. for piano) : Dance of the Young Gypsy Maidens from Aleko,,
https://music.youtube.com/watch?v=tkyZ6dzYdtQ,Dance Specialty,,
https://music.youtube.com/watch?v=6t5SwSeccpw,Dancehall Rock (feat. Cutty Ranks),,
https://music.youtube.com/watch?v=buANILN6asw,Dancing in Heaven (Orbital Be-Bop),,
https://music.youtube.com/watch?v=rAQNTwdqmRM,Dancing with My Baby,,
https://music.youtube.com/watch?v=YJvZVU2Hj4k,Danza Lucumi (Remastered),,
https://music.youtube.com/watch?v=xLIB-I2n2x4,Danza Negra (Remastered),,
https://music.youtube.com/watch?v=xcLDU0ktr3g,Danza Negra 2 (Remastered),,
https://music.youtube.com/watch?v=8_kYdNYlzLk,Danzón No. 2,,
https://music.youtube.com/watch?v=xEe5_ti60Hg,Darktown Strutters Ball,,
https://music.youtube.com/watch?v=2pndi4pyiZ0,"Das Schwarzblatl aus'n Weanerwald, Op. 61 (Version for Orchestra)",,
https://music.youtube.com/watch?v=4iTq5HR6AXk,Das Zauberschloß Suite,,
https://music.youtube.com/watch?v=0L0i6HYJ-EA,Days of Lavender,,
https://music.youtube.com/watch?v=KptOdEYDYRo,De La Ausencia Y De Ti,,
https://music.youtube.com/watch?v=fb0hbHjofRc,Dear Little Girl,,
https://music.youtube.com/watch?v=Hz3dzTLkt2w,"La plus que lente, CD 128, L. 121 (Arr. Maisky for Cello and Piano)",,
https://music.youtube.com/watch?v=IR8vad1GgwE,"Preludes, Book 1, CD 125, L. 117: No. 12, Minstrels (Arr. Maisky for Cello and Piano)",,
https://music.youtube.com/watch?v=onNjwxE6bDg,"Cello Sonata in D Minor, CD 144, L. 135: I. Prologue. Lent - Sostenuto e molto risoluto",,
https://music.youtube.com/watch?v=iMXtTpe1Nhs,"Cello Sonata in D Minor, CD 144, L. 135: II. Sérénade. Modérément animé - III. Final....",,
https://music.youtube.com/watch?v=f-MhXtqKtLQ,"En blanc et noir, pour piano à quatre mains, CD 142, L. 134: I. Avec emportement (Live)",,
https://music.youtube.com/watch?v=GJZnSIcffOI,"En blanc et noir, pour piano à quatre mains, CD 142, L. 134: II. Lent, sombre (Live)",,
https://music.youtube.com/watch?v=gmz7JOoBZo8,"En blanc et noir, pour piano à quatre mains, CD 142, L. 134: III. Scherzando (Live)",,
